ID	Symbol	adj.P.Val	P.Value	t	B	logFC
ILMN_1357454	Crlf1_predicted	9.30909337161752e-07	4.13314983422169e-11	-11.6929363916548	14.8370363870961	0.9370715321375
ILMN_1353780	Pi16_predicted	2.37007750491772e-06	2.10458420718174e-10	-10.7537663257231	13.2947681055163	0.894494255639978
ILMN_1365571	Pi16_predicted	5.6686928841336e-06	7.55053885024233e-10	-10.0540492890331	12.0456138374294	1.11673547472425
ILMN_1364910	RGD1561967_predicted	6.59551012786965e-06	1.31285325269616e-09	-9.76058820347519	11.5882281699866	0.84406638839307
ILMN_1359044	Es2	6.59551012786965e-06	1.54668819574538e-09	9.67469084639853	11.5881018503015	-1.30212613493968
ILMN_1373609	Tnfrsf12a	6.59551012786965e-06	1.7570066495235e-09	-9.60820687834174	11.4140105391308	0.676913078025917
ILMN_2039308	Nppb	3.50357480187483e-05	1.08888796399786e-08	-8.68708588385966	9.77534609097571	0.882731265643995
ILMN_1376321	Dkk3	3.73039338873225e-05	1.3250076415157e-08	-8.59117014446746	9.68000363962271	0.600738051844367
ILMN_1362293	RGD1562305_predicted	4.28235768788927e-05	1.90132650530092e-08	-8.41620631872927	9.46455392242994	0.888940582164185
ILMN_1360318	Col4a1	3.81645962053652e-05	1.5250249338378e-08	-8.52282188750477	9.43468688624092	0.615119789178317
ILMN_1362842	Cilp_predicted	5.80569148417679e-05	2.83543960955222e-08	-8.22483538028982	8.98060803472108	1.13565630107024
ILMN_1357585	Rasd2	0.00010744036911065	6.20132663694201e-08	7.85667611116275	8.3589716590602	-0.50696906014235
ILMN_1371773	Cd248_predicted	0.000109150464897582	7.08860323745988e-08	-7.79460430761919	8.0702038196992	0.899206044027922
ILMN_1358592	Cyp2e1	0.000119159929584337	8.46494194090217e-08	7.71260525693798	8.01815160489615	-0.905490827197548
ILMN_1364939	Pam	0.000163064043587521	1.23078130843487e-07	-7.54097916278274	7.58046189585267	0.512567512445745
ILMN_1357962	Nbl1	0.000163513663822827	1.49740534330142e-07	-7.45177982127569	7.42677182594347	0.711671073918419
