ID	Symbol	adj.P.Val	P.Value	t	B	logFC
ILMN_1357454	Crlf1_predicted	9.30909337161752e-07	4.13314983422169e-11	-11.6929363916548	14.8370363870961	0.9370715321375
ILMN_1376321	Dkk3	3.73039338873225e-05	1.3250076415157e-08	-8.59117014446746	9.68000363962271	0.600738051844367
ILMN_1360318	Col4a1	3.81645962053652e-05	1.5250249338378e-08	-8.52282188750477	9.43468688624092	0.615119789178317
ILMN_1364939	Pam	0.000163064043587521	1.23078130843487e-07	-7.54097916278274	7.58046189585267	0.512567512445745
ILMN_1357962	Nbl1	0.000163513663822827	1.49740534330142e-07	-7.45177982127569	7.42677182594347	0.711671073918419
ILMN_1349048	Ucp2	0.000178696577931022	2.14216916225085e-07	-7.29010907947729	7.07927846604285	0.505317357379617
ILMN_1350770	Scn3b	0.000766892419720977	1.66841577793046e-06	-6.39117625128417	5.23800471136335	0.639353033209288
ILMN_1361855	Nid2	0.00127961653375604	3.98299315049312e-06	-6.02256190548939	4.40380807449189	0.572068871737715
ILMN_1358490	Cdc2a	0.00172303230709953	7.14052155552952e-06	-5.77873260617384	3.86429832931745	0.667102692686608
ILMN_1369135	Hsd11b1	0.00252536268405912	1.28942285071615e-05	-5.53433971687028	3.3104251621856	0.504139945766816
ILMN_1367752	Prss23	0.00287295847843831	1.63954447146032e-05	-5.43563011953024	3.08730376953892	0.577377919283732
ILMN_1360149	Acta1	0.00550373052110296	4.60263138583337e-05	-5.01489578626871	2.12588339624442	0.6725863298043
ILMN_1359541	Fbn1	0.00550373052110296	4.78396114905935e-05	-4.99923550154758	2.09146079455447	0.945555700408621
ILMN_1376846	Loxl1	0.00675545084411969	7.62398217204092e-05	-4.81074874983339	1.65766999302561	0.881669472330742
ILMN_1530405	Loxl1	0.00794705410733603	9.91485239160603e-05	-4.7047437276662	1.40951634868002	0.799531467599326
ILMN_1358229	Prps2	0.00909914642029668	0.000124430009210646	-4.61321482557553	1.18737891211825	0.570862658986446
ILMN_1650259	Plod2	0.0097353116430933	0.000137451898170922	-4.5731286628125	1.10814769984034	0.547765717771401
ILMN_1355383	Dab2	0.0112474050216594	0.000184768452604626	-4.4540363142052	0.834197488769388	0.536366790103239
ILMN_1350372	Ccnd1	0.0112951243794981	0.00018605386248696	-4.45124595672357	0.827840130300999	0.539392494398166
ILMN_1370763	Serpine2	0.0165133833160848	0.000335795833537576	-4.2135369717521	0.267899890682297	0.635868773717997
ILMN_1354941	Col3a1	0.018813210852681	0.000425162026551286	-4.11842906062264	0.0589230603287563	0.947625169537682
ILMN_1354289	Hamp	0.0207491934363414	0.000505763317344557	-4.04837914389279	-0.104253394938271	1.32989421375569
